Unidade da Federação;Internações;mes;ano;mes_ano
17 Tocantins;189;Set;2008;2008-09-01
16 Amapá;183;Set;2008;2008-09-01
11 Rondônia;100;Set;2008;2008-09-01
12 Acre;88;Set;2008;2008-09-01
14 Roraima;26;Set;2008;2008-09-01
35 São Paulo;3655;Out;2008;2008-10-01
29 Bahia;2329;Out;2008;2008-10-01
31 Minas Gerais;1894;Out;2008;2008-10-01
33 Rio de Janeiro;1439;Out;2008;2008-10-01
26 Pernambuco;880;Out;2008;2008-10-01
23 Ceará;944;Out;2008;2008-10-01
41 Paraná;682;Out;2008;2008-10-01
15 Pará;769;Out;2008;2008-10-01
43 Rio Grande do Sul;742;Out;2008;2008-10-01
21 Maranhão;608;Out;2008;2008-10-01
42 Santa Catarina;533;Out;2008;2008-10-01
13 Amazonas;599;Out;2008;2008-10-01
52 Goiás;364;Out;2008;2008-10-01
25 Paraíba;420;Out;2008;2008-10-01
22 Piauí;421;Out;2008;2008-10-01
27 Alagoas;468;Out;2008;2008-10-01
28 Sergipe;380;Out;2008;2008-10-01
24 Rio Grande do Norte;226;Out;2008;2008-10-01
32 Espírito Santo;335;Out;2008;2008-10-01
53 Distrito Federal;440;Out;2008;2008-10-01
51 Mato Grosso;222;Out;2008;2008-10-01
50 Mato Grosso do Sul;279;Out;2008;2008-10-01
17 Tocantins;185;Out;2008;2008-10-01
16 Amapá;205;Out;2008;2008-10-01
11 Rondônia;73;Out;2008;2008-10-01
12 Acre;119;Out;2008;2008-10-01
14 Roraima;137;Out;2008;2008-10-01
35 São Paulo;2770;Nov;2008;2008-11-01
29 Bahia;2204;Nov;2008;2008-11-01
31 Minas Gerais;1702;Nov;2008;2008-11-01
33 Rio de Janeiro;1275;Nov;2008;2008-11-01
26 Pernambuco;1018;Nov;2008;2008-11-01
23 Ceará;858;Nov;2008;2008-11-01
41 Paraná;659;Nov;2008;2008-11-01
15 Pará;619;Nov;2008;2008-11-01
43 Rio Grande do Sul;617;Nov;2008;2008-11-01
21 Maranhão;531;Nov;2008;2008-11-01
42 Santa Catarina;428;Nov;2008;2008-11-01
13 Amazonas;518;Nov;2008;2008-11-01
52 Goiás;327;Nov;2008;2008-11-01
25 Paraíba;442;Nov;2008;2008-11-01
22 Piauí;388;Nov;2008;2008-11-01
27 Alagoas;426;Nov;2008;2008-11-01
28 Sergipe;372;Nov;2008;2008-11-01
24 Rio Grande do Norte;234;Nov;2008;2008-11-01
32 Espírito Santo;388;Nov;2008;2008-11-01
53 Distrito Federal;347;Nov;2008;2008-11-01
51 Mato Grosso;212;Nov;2008;2008-11-01
50 Mato Grosso do Sul;171;Nov;2008;2008-11-01
17 Tocantins;212;Nov;2008;2008-11-01
16 Amapá;162;Nov;2008;2008-11-01
11 Rondônia;72;Nov;2008;2008-11-01
12 Acre;111;Nov;2008;2008-11-01
14 Roraima;29;Nov;2008;2008-11-01
35 São Paulo;2977;Dez;2008;2008-12-01
29 Bahia;1939;Dez;2008;2008-12-01
31 Minas Gerais;1525;Dez;2008;2008-12-01
33 Rio de Janeiro;1247;Dez;2008;2008-12-01
26 Pernambuco;1088;Dez;2008;2008-12-01
23 Ceará;888;Dez;2008;2008-12-01
41 Paraná;563;Dez;2008;2008-12-01
15 Pará;676;Dez;2008;2008-12-01
43 Rio Grande do Sul;681;Dez;2008;2008-12-01
21 Maranhão;602;Dez;2008;2008-12-01
42 Santa Catarina;521;Dez;2008;2008-12-01
13 Amazonas;491;Dez;2008;2008-12-01
52 Goiás;334;Dez;2008;2008-12-01
25 Paraíba;405;Dez;2008;2008-12-01
22 Piauí;326;Dez;2008;2008-12-01
27 Alagoas;337;Dez;2008;2008-12-01
28 Sergipe;325;Dez;2008;2008-12-01
24 Rio Grande do Norte;203;Dez;2008;2008-12-01
32 Espírito Santo;299;Dez;2008;2008-12-01
53 Distrito Federal;280;Dez;2008;2008-12-01
51 Mato Grosso;184;Dez;2008;2008-12-01
50 Mato Grosso do Sul;156;Dez;2008;2008-12-01
17 Tocantins;154;Dez;2008;2008-12-01
16 Amapá;90;Dez;2008;2008-12-01
11 Rondônia;71;Dez;2008;2008-12-01
12 Acre;154;Dez;2008;2008-12-01
14 Roraima;93;Dez;2008;2008-12-01
35 São Paulo;2761;Jan;2009;2009-01-01
29 Bahia;1709;Jan;2009;2009-01-01
31 Minas Gerais;1648;Jan;2009;2009-01-01
33 Rio de Janeiro;1198;Jan;2009;2009-01-01
26 Pernambuco;967;Jan;2009;2009-01-01
23 Ceará;942;Jan;2009;2009-01-01
41 Paraná;691;Jan;2009;2009-01-01
15 Pará;738;Jan;2009;2009-01-01
43 Rio Grande do Sul;641;Jan;2009;2009-01-01
21 Maranhão;631;Jan;2009;2009-01-01
42 Santa Catarina;515;Jan;2009;2009-01-01
13 Amazonas;335;Jan;2009;2009-01-01
52 Goiás;320;Jan;2009;2009-01-01
25 Paraíba;411;Jan;2009;2009-01-01
22 Piauí;349;Jan;2009;2009-01-01
27 Alagoas;375;Jan;2009;2009-01-01
28 Sergipe;326;Jan;2009;2009-01-01
24 Rio Grande do Norte;188;Jan;2009;2009-01-01
32 Espírito Santo;306;Jan;2009;2009-01-01
53 Distrito Federal;331;Jan;2009;2009-01-01
51 Mato Grosso;203;Jan;2009;2009-01-01
50 Mato Grosso do Sul;273;Jan;2009;2009-01-01
17 Tocantins;112;Jan;2009;2009-01-01
16 Amapá;185;Jan;2009;2009-01-01
11 Rondônia;69;Jan;2009;2009-01-01
12 Acre;132;Jan;2009;2009-01-01
14 Roraima;221;Jan;2009;2009-01-01
35 São Paulo;2705;Fev;2009;2009-02-01
29 Bahia;1770;Fev;2009;2009-02-01
31 Minas Gerais;1375;Fev;2009;2009-02-01
33 Rio de Janeiro;1006;Fev;2009;2009-02-01
26 Pernambuco;932;Fev;2009;2009-02-01
23 Ceará;796;Fev;2009;2009-02-01
41 Paraná;695;Fev;2009;2009-02-01
15 Pará;685;Fev;2009;2009-02-01
43 Rio Grande do Sul;620;Fev;2009;2009-02-01
21 Maranhão;536;Fev;2009;2009-02-01
42 Santa Catarina;428;Fev;2009;2009-02-01
13 Amazonas;382;Fev;2009;2009-02-01
52 Goiás;338;Fev;2009;2009-02-01
25 Paraíba;413;Fev;2009;2009-02-01
22 Piauí;349;Fev;2009;2009-02-01
27 Alagoas;352;Fev;2009;2009-02-01
28 Sergipe;264;Fev;2009;2009-02-01
24 Rio Grande do Norte;171;Fev;2009;2009-02-01
32 Espírito Santo;255;Fev;2009;2009-02-01
53 Distrito Federal;226;Fev;2009;2009-02-01
51 Mato Grosso;193;Fev;2009;2009-02-01
50 Mato Grosso do Sul;167;Fev;2009;2009-02-01
17 Tocantins;224;Fev;2009;2009-02-01
16 Amapá;167;Fev;2009;2009-02-01
11 Rondônia;100;Fev;2009;2009-02-01
12 Acre;155;Fev;2009;2009-02-01
14 Roraima;73;Fev;2009;2009-02-01
35 São Paulo;3166;Mar;2009;2009-03-01
29 Bahia;1951;Mar;2009;2009-03-01
31 Minas Gerais;1556;Mar;2009;2009-03-01
33 Rio de Janeiro;1349;Mar;2009;2009-03-01
26 Pernambuco;940;Mar;2009;2009-03-01
23 Ceará;972;Mar;2009;2009-03-01
41 Paraná;592;Mar;2009;2009-03-01
15 Pará;720;Mar;2009;2009-03-01
43 Rio Grande do Sul;713;Mar;2009;2009-03-01
21 Maranhão;476;Mar;2009;2009-03-01
42 Santa Catarina;502;Mar;2009;2009-03-01
13 Amazonas;520;Mar;2009;2009-03-01
52 Goiás;334;Mar;2009;2009-03-01
25 Paraíba;394;Mar;2009;2009-03-01
22 Piauí;240;Mar;2009;2009-03-01
27 Alagoas;337;Mar;2009;2009-03-01
28 Sergipe;314;Mar;2009;2009-03-01
24 Rio Grande do Norte;185;Mar;2009;2009-03-01
32 Espírito Santo;274;Mar;2009;2009-03-01
53 Distrito Federal;304;Mar;2009;2009-03-01
51 Mato Grosso;186;Mar;2009;2009-03-01
50 Mato Grosso do Sul;231;Mar;2009;2009-03-01
17 Tocantins;134;Mar;2009;2009-03-01
16 Amapá;235;Mar;2009;2009-03-01
11 Rondônia;90;Mar;2009;2009-03-01
12 Acre;114;Mar;2009;2009-03-01
14 Roraima;46;Mar;2009;2009-03-01
35 São Paulo;3025;Abr;2009;2009-04-01
29 Bahia;1845;Abr;2009;2009-04-01
31 Minas Gerais;1548;Abr;2009;2009-04-01
33 Rio de Janeiro;1096;Abr;2009;2009-04-01
26 Pernambuco;852;Abr;2009;2009-04-01
23 Ceará;859;Abr;2009;2009-04-01
41 Paraná;641;Abr;2009;2009-04-01
15 Pará;719;Abr;2009;2009-04-01
43 Rio Grande do Sul;692;Abr;2009;2009-04-01
21 Maranhão;614;Abr;2009;2009-04-01
42 Santa Catarina;458;Abr;2009;2009-04-01
13 Amazonas;510;Abr;2009;2009-04-01
52 Goiás;359;Abr;2009;2009-04-01
25 Paraíba;382;Abr;2009;2009-04-01
22 Piauí;318;Abr;2009;2009-04-01
27 Alagoas;364;Abr;2009;2009-04-01
28 Sergipe;317;Abr;2009;2009-04-01
24 Rio Grande do Norte;236;Abr;2009;2009-04-01
32 Espírito Santo;240;Abr;2009;2009-04-01
53 Distrito Federal;295;Abr;2009;2009-04-01
51 Mato Grosso;195;Abr;2009;2009-04-01
50 Mato Grosso do Sul;157;Abr;2009;2009-04-01
17 Tocantins;146;Abr;2009;2009-04-01
16 Amapá;181;Abr;2009;2009-04-01
11 Rondônia;93;Abr;2009;2009-04-01
12 Acre;136;Abr;2009;2009-04-01
14 Roraima;164;Abr;2009;2009-04-01
35 São Paulo;3013;Mai;2009;2009-05-01
29 Bahia;1656;Mai;2009;2009-05-01
31 Minas Gerais;1436;Mai;2009;2009-05-01
33 Rio de Janeiro;1163;Mai;2009;2009-05-01
26 Pernambuco;879;Mai;2009;2009-05-01
23 Ceará;916;Mai;2009;2009-05-01
41 Paraná;643;Mai;2009;2009-05-01
15 Pará;808;Mai;2009;2009-05-01
43 Rio Grande do Sul;626;Mai;2009;2009-05-01
21 Maranhão;487;Mai;2009;2009-05-01
42 Santa Catarina;439;Mai;2009;2009-05-01
13 Amazonas;457;Mai;2009;2009-05-01
52 Goiás;349;Mai;2009;2009-05-01
25 Paraíba;394;Mai;2009;2009-05-01
22 Piauí;331;Mai;2009;2009-05-01
27 Alagoas;358;Mai;2009;2009-05-01
28 Sergipe;366;Mai;2009;2009-05-01
24 Rio Grande do Norte;291;Mai;2009;2009-05-01
32 Espírito Santo;289;Mai;2009;2009-05-01
53 Distrito Federal;337;Mai;2009;2009-05-01
51 Mato Grosso;161;Mai;2009;2009-05-01
50 Mato Grosso do Sul;153;Mai;2009;2009-05-01
17 Tocantins;146;Mai;2009;2009-05-01
16 Amapá;157;Mai;2009;2009-05-01
11 Rondônia;104;Mai;2009;2009-05-01
12 Acre;142;Mai;2009;2009-05-01
14 Roraima;205;Mai;2009;2009-05-01
35 São Paulo;2893;Jun;2009;2009-06-01
29 Bahia;1560;Jun;2009;2009-06-01
31 Minas Gerais;1548;Jun;2009;2009-06-01
33 Rio de Janeiro;1199;Jun;2009;2009-06-01
26 Pernambuco;746;Jun;2009;2009-06-01
23 Ceará;797;Jun;2009;2009-06-01
41 Paraná;613;Jun;2009;2009-06-01
15 Pará;666;Jun;2009;2009-06-01
43 Rio Grande do Sul;661;Jun;2009;2009-06-01
21 Maranhão;510;Jun;2009;2009-06-01
42 Santa Catarina;452;Jun;2009;2009-06-01
13 Amazonas;453;Jun;2009;2009-06-01
52 Goiás;353;Jun;2009;2009-06-01
25 Paraíba;358;Jun;2009;2009-06-01
22 Piauí;361;Jun;2009;2009-06-01
27 Alagoas;294;Jun;2009;2009-06-01
28 Sergipe;260;Jun;2009;2009-06-01
24 Rio Grande do Norte;310;Jun;2009;2009-06-01
32 Espírito Santo;209;Jun;2009;2009-06-01
53 Distrito Federal;341;Jun;2009;2009-06-01
51 Mato Grosso;217;Jun;2009;2009-06-01
50 Mato Grosso do Sul;165;Jun;2009;2009-06-01
17 Tocantins;172;Jun;2009;2009-06-01
16 Amapá;147;Jun;2009;2009-06-01
11 Rondônia;91;Jun;2009;2009-06-01
12 Acre;137;Jun;2009;2009-06-01
14 Roraima;115;Jun;2009;2009-06-01
35 São Paulo;3007;Jul;2009;2009-07-01
29 Bahia;1828;Jul;2009;2009-07-01
31 Minas Gerais;1614;Jul;2009;2009-07-01
33 Rio de Janeiro;1310;Jul;2009;2009-07-01
26 Pernambuco;852;Jul;2009;2009-07-01
23 Ceará;916;Jul;2009;2009-07-01
41 Paraná;704;Jul;2009;2009-07-01
15 Pará;705;Jul;2009;2009-07-01
43 Rio Grande do Sul;651;Jul;2009;2009-07-01
21 Maranhão;500;Jul;2009;2009-07-01
42 Santa Catarina;485;Jul;2009;2009-07-01
13 Amazonas;491;Jul;2009;2009-07-01
52 Goiás;414;Jul;2009;2009-07-01
25 Paraíba;382;Jul;2009;2009-07-01
22 Piauí;311;Jul;2009;2009-07-01
27 Alagoas;276;Jul;2009;2009-07-01
28 Sergipe;312;Jul;2009;2009-07-01
24 Rio Grande do Norte;279;Jul;2009;2009-07-01
32 Espírito Santo;263;Jul;2009;2009-07-01
53 Distrito Federal;260;Jul;2009;2009-07-01
51 Mato Grosso;213;Jul;2009;2009-07-01
50 Mato Grosso do Sul;224;Jul;2009;2009-07-01
17 Tocantins;166;Jul;2009;2009-07-01
16 Amapá;139;Jul;2009;2009-07-01
11 Rondônia;106;Jul;2009;2009-07-01
12 Acre;106;Jul;2009;2009-07-01
14 Roraima;126;Jul;2009;2009-07-01
35 São Paulo;3281;Ago;2009;2009-08-01
29 Bahia;1953;Ago;2009;2009-08-01
31 Minas Gerais;1608;Ago;2009;2009-08-01
33 Rio de Janeiro;1385;Ago;2009;2009-08-01
26 Pernambuco;860;Ago;2009;2009-08-01
23 Ceará;992;Ago;2009;2009-08-01
41 Paraná;654;Ago;2009;2009-08-01
15 Pará;861;Ago;2009;2009-08-01
43 Rio Grande do Sul;650;Ago;2009;2009-08-01
21 Maranhão;586;Ago;2009;2009-08-01
42 Santa Catarina;477;Ago;2009;2009-08-01
13 Amazonas;279;Ago;2009;2009-08-01
52 Goiás;359;Ago;2009;2009-08-01
25 Paraíba;408;Ago;2009;2009-08-01
22 Piauí;402;Ago;2009;2009-08-01
27 Alagoas;292;Ago;2009;2009-08-01
28 Sergipe;308;Ago;2009;2009-08-01
24 Rio Grande do Norte;293;Ago;2009;2009-08-01
32 Espírito Santo;267;Ago;2009;2009-08-01
53 Distrito Federal;261;Ago;2009;2009-08-01
51 Mato Grosso;245;Ago;2009;2009-08-01
50 Mato Grosso do Sul;207;Ago;2009;2009-08-01
17 Tocantins;160;Ago;2009;2009-08-01
16 Amapá;195;Ago;2009;2009-08-01
11 Rondônia;122;Ago;2009;2009-08-01
12 Acre;177;Ago;2009;2009-08-01
14 Roraima;77;Ago;2009;2009-08-01
35 São Paulo;3393;Set;2009;2009-09-01
29 Bahia;2460;Set;2009;2009-09-01
31 Minas Gerais;1610;Set;2009;2009-09-01
33 Rio de Janeiro;1495;Set;2009;2009-09-01
26 Pernambuco;961;Set;2009;2009-09-01
23 Ceará;879;Set;2009;2009-09-01
41 Paraná;735;Set;2009;2009-09-01
15 Pará;772;Set;2009;2009-09-01
43 Rio Grande do Sul;707;Set;2009;2009-09-01
21 Maranhão;555;Set;2009;2009-09-01
42 Santa Catarina;565;Set;2009;2009-09-01
13 Amazonas;552;Set;2009;2009-09-01
52 Goiás;341;Set;2009;2009-09-01
25 Paraíba;462;Set;2009;2009-09-01
22 Piauí;350;Set;2009;2009-09-01
27 Alagoas;353;Set;2009;2009-09-01
28 Sergipe;351;Set;2009;2009-09-01
24 Rio Grande do Norte;254;Set;2009;2009-09-01
32 Espírito Santo;280;Set;2009;2009-09-01
53 Distrito Federal;332;Set;2009;2009-09-01
51 Mato Grosso;215;Set;2009;2009-09-01
